Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,AF,Afghanistan,EMRO,,0,,0
2020-01-12,AF,Afghanistan,EMRO,,0,,0
2020-01-19,AF,Afghanistan,EMRO,,0,,0
2020-01-26,AF,Afghanistan,EMRO,,0,,0
2020-02-02,AF,Afghanistan,EMRO,,0,,0
2020-02-09,AF,Afghanistan,EMRO,,0,,0
2020-02-16,AF,Afghanistan,EMRO,,0,,0
2020-02-23,AF,Afghanistan,EMRO,,0,,0
2020-03-01,AF,Afghanistan,EMRO,1,1,,0
2020-03-08,AF,Afghanistan,EMRO,,1,,0
2020-03-15,AF,Afghanistan,EMRO,6,7,,0
2020-03-22,AF,Afghanistan,EMRO,17,24,,0
2020-03-29,AF,Afghanistan,EMRO,67,91,2,2
2020-04-05,AF,Afghanistan,EMRO,183,274,3,5
2020-04-12,AF,Afghanistan,EMRO,247,521,10,15
2020-01-05,AM,Armenia,EURO,,0,,0
2020-01-12,AM,Armenia,EURO,,0,,0
2020-01-19,AM,Armenia,EURO,,0,,0
2020-01-26,AM,Armenia,EURO,,0,,0
2020-02-02,AM,Armenia,EURO,,0,,0
2020-02-09,AM,Armenia,EURO,,0,,0
2020-02-16,AM,Armenia,EURO,,0,,0
2020-02-23,AM,Armenia,EURO,,0,,0
2020-03-01,AM,Armenia,EURO,,0,,0
2020-03-08,AM,Armenia,EURO,1,1,,0
2020-03-15,AM,Armenia,EURO,19,20,,0
2020-03-22,AM,Armenia,EURO,170,190,,0
2020-03-29,AM,Armenia,EURO,234,424,1,1
2020-04-05,AM,Armenia,EURO,398,822,6,7
2020-04-12,AM,Armenia,EURO,191,1013,6,13
2020-01-05,AW,Aruba,AMRO,,0,,0
2020-01-12,AW,Aruba,AMRO,,0,,0
2020-01-19,AW,Aruba,AMRO,,0,,0
2020-01-26,AW,Aruba,AMRO,,0,,0
2020-02-02,AW,Aruba,AMRO,,0,,0
2020-02-09,AW,Aruba,AMRO,,0,,0
2020-02-16,AW,Aruba,AMRO,,0,,0
2020-02-23,AW,Aruba,AMRO,,0,,0
2020-03-01,AW,Aruba,AMRO,,0,,0
2020-03-08,AW,Aruba,AMRO,,0,,0
2020-03-15,AW,Aruba,AMRO,,0,,0
2020-03-22,AW,Aruba,AMRO,5,5,,0
2020-03-29,AW,Aruba,AMRO,41,46,,0
2020-04-05,AW,Aruba,AMRO,18,64,,0
2020-04-12,AW,Aruba,AMRO,28,92,,0
2020-04-19,AF,Afghanistan,EMRO,387,908,15,30
2020-04-26,AF,Afghanistan,EMRO,422,1330,13,43
2020-05-03,AF,Afghanistan,EMRO,841,2171,21,64
2020-05-10,AF,Afghanistan,EMRO,1392,3563,41,105
2020-05-17,AF,Afghanistan,EMRO,2490,6053,48,153
2020-05-24,AF,Afghanistan,EMRO,3813,9866,58,211
2020-05-31,AF,Afghanistan,EMRO,4577,14443,37,248
2020-06-07,AF,Afghanistan,EMRO,5108,19551,79,327
2020-06-14,AF,Afghanistan,EMRO,4551,24102,124,451
2020-06-21,AF,Afghanistan,EMRO,4195,28297,97,548
2020-06-28,AF,Afghanistan,EMRO,2319,30616,155,703
2020-07-05,AF,Afghanistan,EMRO,2056,32672,123,826
2020-04-19,AM,Armenia,EURO,278,1291,7,20
2020-04-26,AM,Armenia,EURO,455,1746,8,28
2020-05-03,AM,Armenia,EURO,640,2386,7,35
2020-05-10,AM,Armenia,EURO,927,3313,10,45
2020-05-17,AM,Armenia,EURO,1159,4472,15,60
2020-05-24,AM,Armenia,EURO,2189,6661,21,81
2020-05-31,AM,Armenia,EURO,2621,9282,50,131
2020-06-07,AM,Armenia,EURO,3848,13130,69,200
2020-06-14,AM,Armenia,EURO,3537,16667,69,269
2020-06-21,AM,Armenia,EURO,3601,20268,81,350
2020-06-28,AM,Armenia,EURO,4377,24645,76,426
2020-07-05,AM,Armenia,EURO,3961,28606,58,484
2020-04-19,AW,Aruba,AMRO,4,96,2,2
2020-04-26,AW,Aruba,AMRO,4,100,,2
2020-05-03,AW,Aruba,AMRO,,100,,2
2020-05-10,AW,Aruba,AMRO,1,101,1,3
2020-05-17,AW,Aruba,AMRO,,101,,3
2020-05-24,AW,Aruba,AMRO,,101,,3
2020-05-31,AW,Aruba,AMRO,,101,,3
2020-06-07,AW,Aruba,AMRO,,101,,3
2020-06-14,AW,Aruba,AMRO,,101,,3
2020-06-21,AW,Aruba,AMRO,,101,,3
2020-06-28,AW,Aruba,AMRO,,101,,3
2020-07-05,AW,Aruba,AMRO,3,104,,3
2020-07-12,AW,Aruba,AMRO,1,105,,3
2020-07-12,AF,Afghanistan,EMRO,1679,34351,149,975
2020-07-19,AF,Afghanistan,EMRO,938,35289,172,1147
2020-07-26,AF,Afghanistan,EMRO,747,36036,99,1246
2020-08-02,AF,Afghanistan,EMRO,674,36710,37,1283
2020-08-09,AF,Afghanistan,EMRO,305,37015,24,1307
2020-08-16,AF,Afghanistan,EMRO,536,37551,63,1370
2020-08-23,AF,Afghanistan,EMRO,343,37894,15,1385
2020-08-30,AF,Afghanistan,EMRO,249,38143,17,1402
2020-09-06,AF,Afghanistan,EMRO,161,38304,7,1409
2020-09-13,AF,Afghanistan,EMRO,337,38641,11,1420
2020-09-20,AF,Afghanistan,EMRO,278,38919,17,1437
2020-09-27,AF,Afghanistan,EMRO,273,39192,16,1453
2020-07-12,AM,Armenia,EURO,3363,31969,81,565
2020-07-19,AM,Armenia,EURO,2908,34877,76,641
... (file continues)
